,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,teahupoo,-17.83,-149.27,28.0,58,40,2.6,PF,1592870420
1,saint-jean-port-joli,47.22,-70.27,23.34,73,52,4.92,CA,1592870420
2,busselton,-33.65,115.33,14.44,73,51,8.89,AU,1592870420
3,archidona,37.1,-4.39,22.78,48,0,2.05,ES,1592870421
4,harwich,51.94,1.28,16.67,76,0,3.8,GB,1592870421
5,punta arenas,-53.15,-70.92,5.0,86,97,8.2,CL,1592870421
6,souillac,-20.52,57.52,22.0,78,75,1.5,MU,1592870421
7,morant bay,17.88,-76.41,32.0,59,20,8.7,JM,1592870421
8,lebu,-37.62,-73.65,9.57,77,48,3.35,CL,1592870421
9,avarua,-21.21,-159.78,25.0,69,22,6.2,CK,1592870421
10,omboue,-1.57,9.26,22.07,90,96,2.92,GA,1592870421
11,gazanjyk,39.24,55.52,23.87,57,0,7.36,TM,1592870421
12,ushuaia,-54.8,-68.3,1.0,86,20,1.0,AR,1592870380
13,tura,25.52,90.22,23.75,94,16,2.45,IN,1592870422
14,turukhansk,65.82,87.98,14.0,77,82,2.89,RU,1592869906
15,albany,42.6,-73.97,31.67,54,35,1.36,US,1592870422
16,sijunjung,-0.69,100.95,22.49,92,98,0.76,ID,1592870422
17,noumea,-22.28,166.46,25.0,53,28,1.5,NC,1592870195
18,pevek,69.7,170.31,-0.19,97,37,7.72,RU,1592870422
19,rikitea,-23.12,-134.97,20.83,60,56,7.41,PF,1592870422
20,ribeira grande,38.52,-28.7,19.56,91,34,7.42,PT,1592870422
21,chokurdakh,70.63,147.92,17.44,33,13,5.45,RU,1592870422
22,hermanus,-34.42,19.23,12.78,85,0,2.24,ZA,1592870423
23,vaini,-21.2,-175.2,26.0,83,40,4.6,TO,1592870423
24,windhoek,-22.56,17.08,12.0,30,0,1.5,NA,1592870396
25,aklavik,68.22,-135.01,20.0,42,90,2.6,CA,1592870423
26,klyuchi,52.27,79.17,14.56,71,0,3.22,RU,1592869913
27,hasaki,35.73,140.83,21.11,94,75,3.1,JP,1592870423
28,mayumba,-3.43,10.66,21.6,89,81,1.49,GA,1592870423
29,kingaroy,-26.53,151.83,14.44,66,0,2.1,AU,1592870423
